app_id,title,thumbnail_link,release,review_text,review_score,review_total,price,tags
1607250,MY HERO ULTRA RUMBLE,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1607250/capsule_231x87.jpg?t=1769047241,"28 Sep, 2023",Mixed,66,"11,258",Gratuit,"Anime,Free-to-play,Multijoueur,Battle Royale,JcJ,Combat 3D,Jeu d'équipe,Action,3D,Coop en ligne,Superhéros et superhéroïnes,3ᵉ personne,Combat,Casual,Coop,Tir,E-sport,Tir à la 3ᵉ personne,Stylisé,Contenu à caractère sexuel"
1326470,Sons Of The Forest,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1326470/capsule_231x87.jpg?t=1708624856,"22 Feb, 2024",Very Positive,88,"110,646",£24.99,"Survie,Monde ouvert,Multijoueur,Coop,Horreur et survie,Construction de bases,Horreur,Fabrication,1ʳᵉ personne,Construction,Exploration,Aventure,Jeu solo,Atmosphère,Bac à sable,Action et aventure,Action,Simulation,Simulation immersive,VR"
1145350,Hades II,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1145350/10c9138570a8d7ac9144f601ab0f2ccbc820337e/capsule_231x87.jpg?t=1765831644,"25 Sep, 2025",Overwhelmingly Positive,96,"60,318",£24.99,"Action,Roguelike,Roguelite,Hack 'n' Slash,Mythologie,Action et roguelike,RPG,Protagoniste féminine,Dungeon Crawler,Action et RPG,Isométrique,Riche en récits,Jeu solo,Indépendant,Dessiné à la main,Atmosphère,De type Souls,Difficile,LGBTQ+,Mort permanente"
2246340,Monster Hunter Wilds,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2246340/970508d58e4f11f6f9ff3e2921b7eec558a50af8/capsule_231x87.jpg?t=1768871237,"27 Feb, 2025",Mixed,67,"78,537",£59.99,"Chasse,Action,Multijoueur,Coop en ligne,Coop,Personnages personnalisés,Dragons,Simulation de rencontres,Monde ouvert,3ᵉ personne,Action et RPG,Aventure,Fantasy,RPG,Mignon,Jeu solo,Atmosphère,Super B.O.,Profondeurs marines,Horreur psychologique"
526870,Satisfactory,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/526870/fe7cbb345c177f83f829a61f0e0ab951b42c7ab1/capsule_231x87.jpg?t=1749717464,"10 Sep, 2024",Overwhelmingly Positive,97,"128,017",£33.50,"Construction de bases,Automatisation,Monde ouvert,Multijoueur,Fabrication,Coop,Construction,Gestion de ressources,Bac à sable,Exploration,Aventure,Survie et fabrication en monde ouvert,Survie,1ʳᵉ personne,Simulation,Stratégie,Jeu solo,Science-fiction,Indépendant,Accès anticipé"
1304930,The Outlast Trials,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1304930/dd0d50754c2c3aaede554ff960974cff95ef6015/capsule_231x87.jpg?t=1765832625,"5 Mar, 2024",Very Positive,94,"35,452",£33.50,"Horreur,Multijoueur,Coop,Horreur et survie,Horreur psychologique,1ʳᵉ personne,JcE,Infiltration,Personnages personnalisés,Action,Survie,Action et aventure,Humour noir,Sombre,Réaliste,Atmosphère,Uchronie,Science,Aventure,Gestion"
2622380,ELDEN RING NIGHTREIGN,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2622380/8ebc4260af27bc55ba8b88982fd7eb7f970d43c9/capsule_231x87.jpg?t=1769023313,"29 May, 2025",Very Positive,87,"70,513",£34.99,"De type Souls,Coop en ligne,Multijoueur,Roguelike,Coop,Jeu solo,JcE,3ᵉ personne,Action,Roguelite,Action et RPG,Monde ouvert,RPG,Sombre,3D,Violence,Univers riche,Survie,Riche en récits,Simulation de rencontres"
2958130,Jurassic World Evolution 3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2958130/767bbed48a0426d14562f4aba32bd30abefb79ec/capsule_231x87.jpg?t=1770121149,"21 Oct, 2025",Very Positive,93,"4,631",£49.99,"Simulation,Dinosaures,Stratégie,Bac à sable,Construction de villes,Suite,Action,Gestion,Gestion de ressources,Atmosphère,Économie,Science-fiction,Survie,Construction de bases,Jeu solo,Monde ouvert,Construction,Multijoueur,Violence,Intelligence artificielle"
1203220,NARAKA: BLADEPOINT,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1203220/5e0ece27a2860fece33b2f8836749c2e30466e0b/capsule_231x87.jpg?t=1770257499,"11 Aug, 2021",Very Positive,81,"23,238",Gratuit,"Battle Royale,Multijoueur,Arts martiaux,Adulte,JcJ,Action,Protagoniste féminine,Personnages personnalisés,Combat,Massivement multijoueur,Survie,3ᵉ personne,Combats à l'épée,Hack 'n' Slash,Anime,Free-to-play,Parkour,Aventure,Violence,Gore"
2537590,Microsoft Flight Simulator 2024,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2537590/c992a0851b2714fdeaa65469ba5e7b8e60c06a96/capsule_231x87.jpg?t=1747324291,"19 Nov, 2024",Mixed,51,"10,664",£69.99,"Simulation,Aviation,Réaliste,VR,Multijoueur,Simulation de loisirs,Jeu solo,Atmosphère,Bac à sable,Exploration,Familial,Nature,Monde ouvert,Détente,Non linéaire,Simulation immersive,Basé sur la physique,Personnages personnalisés,Coloré,Horreur psychologique"
1462040,FINAL FANTASY VII REMAKE INTERGRADE,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1462040/capsule_231x87.jpg?t=1746070920,"17 Jun, 2022",Very Positive,87,"17,684",£34.99,"RPG,RPG japonais,Action et RPG,Jeu solo,Action et aventure,RPG en groupe,Combats spectaculaires,3ᵉ personne,Action,Aventure,Contrôleur,Fantasy,3D,Magie,Plateforme 3D,Riche en récits,Cinématographique,Réaliste,Drame,Science-fiction"
427520,Factorio,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/427520/capsule_231x87.jpg?t=1763986204,"14 Aug, 2020",Overwhelmingly Positive,98,"112,817",£30.00,"Automatisation,Construction de bases,Gestion de ressources,Bac à sable,Fabrication,Stratégie,Multijoueur,Survie,Gestion,Monde ouvert,Construction,Coop,2D,Modable,Jeu solo,Trains,Simulation,Graphismes pixel,Construction de villes,Indépendant"
1812450,Bellwright,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1812450/c479dda6fcd1e9edf38fe18a02ca21aab153664e/capsule_231x87.jpg?t=1766079675,"23 Apr, 2024",Very Positive,80,"8,052",£24.99,"Survie,Monde ouvert,Médiéval,Construction de villes,Fabrication,Coop en ligne,Multijoueur,Construction,Simulation,RPG,Stratégie,Coop,Simulation de vie,Exploration,Action,Jeu solo,Accès anticipé,3ᵉ personne,Guerre,3D"
1774580,STAR WARS Jedi: Survivor™,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1774580/capsule_231x87.jpg?t=1748945254,"27 Apr, 2023",Mixed,68,"46,424",£7.19,"Action,Jeu solo,Aventure,De type Souls,Monde ouvert,3ᵉ personne,Science-fiction,Action et aventure,Riche en récits,Espace,Combats à l'épée,Parkour,Exploration,Combat,Personnages personnalisés,RPG,Atmosphère,Super B.O.,Difficile,Multijoueur"
270880,American Truck Simulator,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/270880/8809b200b3ebdd7fbcdbfdbe6c8f91b2c0ce93df/capsule_231x87.jpg?t=1764952453,"2 Feb, 2016",Overwhelmingly Positive,97,"89,526",£16.89,"Simulation automobile,Conduite,Monde ouvert,Transports,Simulation,Amérique,Réaliste,Modable,Détente,Exploration,Économie,Gestion,Atmosphère,Simulation immersive,Multijoueur,Jeu solo,Aventure,Familial,Casual,Éditeur de niveaux"
